3.0;+;5.0;8.0
3.0;-;5.0;-2.0
3.0;*;5.0;15.0
10.0;/;3.0;3.3333333333333335
3.0;+;5.0;8.0
3.0;-;5.0;-2.0
3.0;*;5.0;15.0
3.0;+;5.0;8.0
3.0;+;5.0;8.0
3.0;+;5.0;8.0
3.0;+;5.0;8.0
3.0;+;5.0;8.0
3.0;+;5.0;8.0
3.0;+;5.0;8.0
3.0;+;5.0;8.0
3.0;+;5.0;8.0
3.0;-;5.0;-2.0
3.0;+;5.0;8.0
3.0;+;5.0;8.0
3.0;+;5.0;8.0
3.0;+;5.0;8.0
3.0;+;5.0;8.0
3.0;+;5.0;8.0
123.0;-;456.0;-333.0
123.0;+;456.0;579.0
1.0;+;4.0;5.0
1.0;/;4.0;0.25
1.0;/;4.0;0.25
1.0;-;4.0;-3.0
1.0;-;4.0;-3.0
1.0;/;4.0;0.25
1.0;*;4.0;4.0
1.0;*;4.0;4.0
